                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.91613,                0.38782,                0.79661,                0.96346,                0.88889,                0.95941,                0.65058,                 1.1375,                0.54516,                0.78074,                0.00142,                0.00142,                0.00142
                    132,                0.90638,                0.39672,                0.78904,                0.97596,                0.89815,                0.95495,                0.66208,                 1.1008,                0.59649,                 0.7792,               0.001354,               0.001354,               0.001354
                    133,                0.92909,                 0.4212,                0.80243,                0.95117,                0.90192,                0.94814,                0.66187,                 1.1074,                0.57729,                0.77854,               0.001288,               0.001288,               0.001288
                    134,                0.89961,                0.40024,                0.78356,                0.92817,                0.89815,                0.96026,                 0.6556,                 1.1431,                0.51829,                0.77978,               0.001222,               0.001222,               0.001222
                    135,                0.88906,                0.38862,                0.78847,                0.93285,                0.90038,                0.95706,                0.65847,                 1.1033,                0.52056,                0.77826,               0.001156,               0.001156,               0.001156
                    136,                0.89249,                0.39097,                 0.7862,                0.95931,                 0.8732,                0.95399,                0.66035,                 1.1032,                0.53721,                 0.7784,                0.00109,                0.00109,                0.00109
                    137,                0.90219,                0.40777,                0.78755,                0.98944,                0.86744,                0.95827,                0.66863,                 1.0958,                0.52733,                 0.7784,               0.001024,               0.001024,               0.001024
                    138,                0.88018,                0.37524,                0.78554,                0.97885,                0.85702,                0.96044,                0.67198,                 1.0927,                0.52745,                0.77916,               0.000958,               0.000958,               0.000958
                    139,                0.87152,                 0.3965,                0.78549,                0.97299,                0.87037,                0.95605,                0.67024,                 1.0813,                0.53109,                0.77866,               0.000892,               0.000892,               0.000892
                    140,                0.86522,                0.35902,                0.78675,                0.97951,                0.88548,                0.95769,                0.67691,                 1.0717,                0.52395,                0.77851,               0.000826,               0.000826,               0.000826
                    141,                0.85874,                0.36427,                0.80062,                0.97975,                0.89606,                0.95904,                 0.6798,                 1.0666,                0.50995,                0.77782,                0.00076,                0.00076,                0.00076
                    142,                0.87456,                0.36715,                0.79797,                0.95112,                0.87037,                0.95604,                0.66913,                 1.0814,                0.51941,                0.77832,               0.000694,               0.000694,               0.000694
                    143,                0.84486,                0.37295,                0.78074,                0.97885,                0.87037,                0.95789,                0.67225,                 1.0755,                0.52887,                0.77685,               0.000628,               0.000628,               0.000628
                    144,                0.82879,                0.36743,                0.78214,                0.95062,                0.89815,                0.95762,                0.67123,                 1.0931,                0.51084,                0.77731,               0.000562,               0.000562,               0.000562
                    145,                0.86519,                0.39489,                0.79472,                0.96021,                0.89375,                0.95793,                0.66363,                 1.1041,                0.51793,                0.77757,               0.000496,               0.000496,               0.000496
                    146,                0.87789,                0.38026,                0.78036,                0.95708,                0.89815,                0.95659,                0.66371,                   1.08,                0.52481,                0.77696,                0.00043,                0.00043,                0.00043
                    147,                 0.8266,                0.37412,                0.78748,                0.97294,                0.89815,                0.95805,                0.66905,                 1.0909,                0.53488,                0.77682,               0.000364,               0.000364,               0.000364
                    148,                0.81068,                 0.3558,                0.79435,                0.97876,                0.87963,                0.95694,                0.66871,                 1.1015,                0.53602,                0.77789,               0.000298,               0.000298,               0.000298
                    149,                0.82208,                0.36527,                0.78162,                0.97462,                0.87037,                0.95524,                0.66553,                 1.0932,                0.53269,                0.77736,               0.000232,               0.000232,               0.000232
